No.	Manufacturer Part	Quantity	Designator	Symbol	Value	Footprint
1	2N3906S-RTK/PS	1	Q1			SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR
2	0805W8F1000T5E	1	R6		100Ω	R0805
3	0805W8F2201T5E	1	R8		2.2kΩ	R0805
4	0805W8F3300T5E	2	R4,R10		330Ω	R0805
5	0805W8F4700T5E	1	R3		470Ω	R0805
6	0805W8F4701T5E	1	R5		4.7kΩ	R0805
7	AC0805FR-075K1L	2	R11,R12		5.1kΩ	R0805
8	BT151	1	Q2			TO-252-2_L6.6-W6.1-P4.57-LS10.1-BR-CW
9	C2012X7R1H103KT000N	2	C3,C4		10nF	C0805
10	ERJ6RBD1102V	1	R2		11kΩ	R0805
11	FRC0805F1001TS	2	R7,R9		1kΩ	R0805
12	SMBJ5.0A-13-F	1	D1			SMB_L4.6-W3.6-LS5.3-RD
13	TCC1206X7R104K500DT	3	C2,C5,C6		100nF	C1206
14	TL431BQDBZR	1	U2			SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR
15	TMB12A05	1	BUZZER1		2.4kHz	BUZ-TH_BD12.0-P7.60-D0.6-FD
16	TR0805D10K0P0550Z	1	R1		10kΩ	R0805
17	U221-041N-1WR69-S1	1	USB_OUT			USB-A-TH_U221-041N-1WR69-S-5
18	U253-051N-4BH89-S2S	1	USBm_IN			MICRO-USB-SMD_U253-051N-4BH89-S2S
19	U262-061N-4BVC11	1	USBc_IN			USB-SMD_U262-061N-4BVC11
20	UWT1E470MCL6GS	1	C1		47uF	CAP-SMD_BD6.3-L6.6-W6.6-RD
21	XL-302SURD	1	LED1			LED-TH_BD3.8-P2.54-RD
22	XL-302UGD	1	LED2			LED-TH_BD3.8-P2.54-FD_GREEN
23	XY126V-5.0-2P	2	TER_IN,TER_OUT			CONN-TH_XY126V-5.0-2P
24	保险丝透明座	1	F1			FUSE-TH_L24.5-W9.8-P22.5
